country,class_region
Kenya,Sub-Saharan Africa
"'Nigeria',",Sub-Saharan Africa
" 'Mali',",Sub-Saharan Africa
" 'South Africa',",Sub-Saharan Africa
" 'India',",South Asia
" 'Uganda',",Sub-Saharan Africa
" 'Brazil',",
" 'Ghana',",Sub-Saharan Africa
" ""People's Republic of China"",",
" 'Bangladesh',",South Asia
" 'Senegal',",Sub-Saharan Africa
" 'Lebanon',",LMIC
" 'Nepal',",South Asia
" 'Tanzania',",Sub-Saharan Africa
" 'Pakistan',",South Asia
" 'Rwanda',",Sub-Saharan Africa
" 'Malawi',",Sub-Saharan Africa
" 'Democratic Republic of Congo',",Sub-Saharan Africa
" 'Vietnam',",LMIC
" 'Switzerland',",
" 'United States',",
" 'Palestine',",
" 'Jordan',",LMIC
" 'Greece',",
" 'Germany',",
" 'Djibouti',",Sub-Saharan Africa
" 'Indonesia',",South Asia
" 'Mexico',",
" 'PR',",
" 'Liberia',",Sub-Saharan Africa
" 'Thailand',",
" 'Egypt',",LMIC
" 'Romania',",
" 'United Kingdom',",
" 'Sierra Leone',",Sub-Saharan Africa
" 'Botswana',",Sub-Saharan Africa
" 'Lesotho',",Sub-Saharan Africa
" 'Mozambique',",Sub-Saharan Africa
" 'NA',",Sub-Saharan Africa
" 'Eswatini',",Sub-Saharan Africa
" 'Zambia',",Sub-Saharan Africa
" 'Zimbabwe',",Sub-Saharan Africa
" 'Guatemala',",
" 'Ukraine',",
" 'The Gambia',",Sub-Saharan Africa
" 'Sri Lanka',",South Asia
" 'Cambodia',",LMIC
" 'Tunisia',",LMIC
" 'United Arab Emirates',",
" 'Canada',",
" 'North Macedonia',",
" 'Ireland',",
" 'Australia',",
" 'Denmark',",
" 'Republic of China (Taiwan)',",
" 'Portugal',",
" 'Ethiopia',",Sub-Saharan Africa
" 'Colombia',",
" 'Malaysia',",
" 'Ecuador',",
" 'Philippines',",
" 'Iran',",
" 'Russia',",
" 'Mauritius',",Sub-Saharan Africa
" 'HK',",
" 'Saudi Arabia',",
" 'Benin',",Sub-Saharan Africa
" 'Cameroon',",Sub-Saharan Africa
" ""Côte d'Ivoire"",",Sub-Saharan Africa
" 'XK',",
" 'Somalia',",Sub-Saharan Africa
" 'South Sudan',",Sub-Saharan Africa
" 'Central African Republic',",Sub-Saharan Africa
" 'Niger',",Sub-Saharan Africa
" 'Sudan',",Sub-Saharan Africa
" 'Yemen',",LMIC
" 'Kiribati',",LMIC
" 'Marshall Islands',",
" 'Papua New Guinea',",LMIC
" 'Solomon Islands',",LMIC
" 'East Timor',",LMIC
" 'Haiti',",LMIC
" 'Myanmar',",LMIC
" 'Sweden',",
" 'Norway',",
" 'Turkey',",
 'New Zealand',
